Anio,Mes,DEPARTAMENTO,Region,IPC_Regional_Actual,IPC_Regional_Anterior,Inflacion_regional,Proporcion_Regional,Poblacion_pais,Poblacion_Dpto,Prop_Depto,Contribucion_Inflacion_Depto
2022,Enero,Retalhuleu,Reg VI,139.86,136.55,2.424020505,0.092797114,17357886,381635,0.02198626,0.053295146
2022,Febrero,Retalhuleu,Reg VI,139.99,135.62,3.222238608,0.092797114,17357886,381635,0.02198626,0.070844977
2022,Marzo,Retalhuleu,Reg VI,141.93,136.18,4.222352768,0.092797114,17357886,381635,0.02198626,0.092833747
2022,Abril,Retalhuleu,Reg VI,142.74,136.43,4.62508246,0.092797114,17357886,381635,0.02198626,0.101688267
2022,Mayo,Retalhuleu,Reg VI,145.27,136.45,6.463906193,0.092797114,17357886,381635,0.02198626,0.142117124
2022,Junio,Retalhuleu,Reg VI,147.77,136.9,7.940102264,0.092797114,17357886,381635,0.02198626,0.174573155
2022,Julio,Retalhuleu,Reg VI,149.27,137.37,8.662735677,0.092797114,17357886,381635,0.02198626,0.190461162
2022,Agosto,Retalhuleu,Reg VI,150.8,137.61,9.585059225,0.092797114,17357886,381635,0.02198626,0.210739607
2022,Septiembre,Retalhuleu,Reg VI,150.48,137.96,9.07509423,0.092797114,17357886,381635,0.02198626,0.199527384
2022,Octubre,Retalhuleu,Reg VI,151.47,138.59,9.293599827,0.092797114,17357886,381635,0.02198626,0.204331505
2022,Noviembre,Retalhuleu,Reg VI,152.16,139.36,9.184845006,0.092797114,17357886,381635,0.02198626,0.201940393
2022,Diciembre,Retalhuleu,Reg VI,152.78,140.07,9.074034411,0.092797114,17357886,381635,0.02198626,0.199504083
2022,Enero,Sacatepéquez,Reg V,141.1,137.92,2.305684455,0.203751577,17357886,402357,0.023180069,0.053445925
2022,Febrero,Sacatepéquez,Reg V,141.06,138.55,1.811620354,0.203751577,17357886,402357,0.023180069,0.041993485
2022,Marzo,Sacatepéquez,Reg V,143.74,139.49,3.046813392,0.203751577,17357886,402357,0.023180069,0.070625345
2022,Abril,Sacatepéquez,Reg V,144.43,139.77,3.334048794,0.203751577,17357886,402357,0.023180069,0.077283482
2022,Mayo,Sacatepéquez,Reg V,147.17,139.96,5.151471849,0.203751577,17357886,402357,0.023180069,0.119411474
2022,Junio,Sacatepéquez,Reg V,148.61,140.22,5.983454571,0.203751577,17357886,402357,0.023180069,0.138696891
2022,Julio,Sacatepéquez,Reg V,150.37,141.06,6.600028357,0.203751577,17357886,402357,0.023180069,0.152989115
2022,Agosto,Sacatepéquez,Reg V,151.26,141.32,7.033682423,0.203751577,17357886,402357,0.023180069,0.163041246
2022,Septiembre,Sacatepéquez,Reg V,152.18,141.75,7.358024691,0.203751577,17357886,402357,0.023180069,0.170559522
2022,Octubre,Sacatepéquez,Reg V,153.58,142.25,7.964850615,0.203751577,17357886,402357,0.023180069,0.184625789
2022,Noviembre,Sacatepéquez,Reg V,153.8,143.16,7.432243643,0.203751577,17357886,402357,0.023180069,0.172279923
2022,Diciembre,Sacatepéquez,Reg V,154.16,143.54,7.398634527,0.203751577,17357886,402357,0.023180069,0.171500861
2022,Enero,San Marcos,Reg VI,139.86,136.55,2.424020505,0.293295148,17357886,1206198,0.069489914,0.168444976
2022,Febrero,San Marcos,Reg VI,139.99,135.62,3.222238608,0.293295148,17357886,1206198,0.069489914,0.223913083
2022,Marzo,San Marcos,Reg VI,141.93,136.18,4.222352768,0.293295148,17357886,1206198,0.069489914,0.293410929
